temporada,torneo,jornada,fecha,hora,local,visitante,goles_local,goles_visitante,penales,pen_local,,pen_visitante,Score,,,,,,,
2025/26,Apertura,5,2025-08-15,21:05,Necaxa,Leon,0,1,FALSE,,,,0–1,,,,"19,588",Estadio Victoria de Aguascalientes,Oscar Mejía,Match Report
2025/26,Apertura,5,2025-08-16,17:07,Guadalajara,FC Juárez,1,2,FALSE,,,,1–2,,,,"33,176",Estadio Akron,Marco Antonio Ortíz,Match Report
2025/26,Apertura,5,2025-08-16,19:00,Cruz Azul,Santos Laguna,3,2,FALSE,,,,3–2,,,,"14,101",Estadio Olímpico de Universitario,Fernando Hernández,Match Report
2025/26,Apertura,5,2025-08-16,19:00,Pachuca,Tijuana,0,2,FALSE,,,,0–2,,,,"11,798",Estadio Hidalgo,Salvador Pérez Villalobos,Match Report
2025/26,Apertura,5,2025-08-16,19:00,UANL,America,1,3,FALSE,,,,1–3,,,,"41,615",Estadio Universitario de Nuevo Leon,César Arturo Ramos,Match Report
2025/26,Apertura,5,2025-08-16,21:10,Toluca,UNAM,1,1,FALSE,,,,1–1,,,,"27,273",Estadio Nemesio Díez,Víctor Cáceres,Match Report
2025/26,Apertura,5,2025-08-17,16:00,Queretaro,Atlas,3,3,FALSE,,,,3–3,,,,"9,261",Estadio La Corregidora,Abraham Quirarte,Match Report
2025/26,Apertura,5,2025-08-17,18:00,Monterrey,Mazatlan,3,2,FALSE,,,,3–2,,,,"45,894",Estadio BBVA,Martín Molina,Match Report
2025/26,Apertura,6,2025-08-22,19:00,Queretaro,Atlético San Luis,3,2,FALSE,,,,3–2,,,,"8,159",Estadio La Corregidora,Oscar Mejía,Match Report
2025/26,Apertura,6,2025-08-22,19:00,FC Juárez,Santos Laguna,2,1,FALSE,,,,2–1,,,,"7,518",Estadio Olímpico Benito Juárez,Jorge Camacho,Match Report
2025/26,Apertura,6,2025-08-22,21:00,Tijuana,Guadalajara,3,3,FALSE,,,,3–3,,,,"28,553",Estadio Caliente,Katia García,Match Report
2025/26,Apertura,6,2025-08-23,17:00,Leon,Pachuca,1,1,FALSE,,,,1–1,,,,"20,655",Estadio Leon,Jesús López,Match Report
2025/26,Apertura,6,2025-08-23,19:00,Mazatlan,UANL,2,2,FALSE,,,,2–2,,,,"13,656",Estadio El Encanto,Joaquín Vizcarra Armenta,Match Report
2025/26,Apertura,6,2025-08-23,19:00,Monterrey,Necaxa,3,0,FALSE,,,,3–0,,,,"45,032",Estadio BBVA,Yonatan Peinado Aguirre,Match Report
2025/26,Apertura,6,2025-08-23,21:05,Cruz Azul,Toluca,1,0,FALSE,,,,1–0,,,,"22,867",Estadio Olímpico de Universitario,César Arturo Ramos,Match Report
2025/26,Apertura,6,2025-08-24,17:00,UNAM,Puebla,0,0,FALSE,,,,0–0,,,,"18,450",Estadio Olímpico de Universitario,Iván López,Match Report
2025/26,Apertura,6,2025-08-24,19:05,Atlas,America,2,4,FALSE,,,,2–4,,,,"35,588",Estadio Jalisco,Marco Antonio Ortíz,Match Report
2025/26,Apertura,7,2025-08-29,19:00,FC Juárez,Mazatlan,1,0,FALSE,,,,1–0,,,,"6,822",Estadio Olímpico Benito Juárez,Luis Enrique Santander,Match Report
2025/26,Apertura,7,2025-08-29,19:00,Atlético San Luis,Toluca,1,3,FALSE,,,,1–3,,,,"15,150",Estadio Alfonso Lastras Ramírez,Jorge Camacho,Match Report
2025/26,Apertura,7,2025-08-29,21:05,Puebla,Monterrey,2,4,FALSE,,,,2–4,,,,"21,945",Estadio Cuauhtémoc,Jesús López,Match Report
